date,open,high,low,close,volume,vwap,Returns
09/01/2013 18:18:59,1640.25,1642,1639,1641.25,21722,1640.667273,-0.000304739
09/01/2013 21:42:07,1641.25,1643.5,1639.75,1640.75,21713,1641.829768,0.002280328
09/02/2013 2:05:25,1640.75,1644.5,1640.5,1644.5,21645,1643.150681,0.000455858
09/02/2013 3:02:09,1644.5,1646,1642.75,1645.25,21722,1644.5572,0.00015193
09/02/2013 4:32:44,1645.25,1647.25,1644.25,1645.5,21654,1646.012284,0.00151699
09/02/2013 6:40:20,1645.5,1648,1645.25,1648,21574,1646.64266,-0.000759071
09/02/2013 8:06:35,1648,1648.5,1646,1646.75,21706,1647.491131,0.000455235
09/02/2013 9:47:12,1646.75,1647.75,1645.25,1647.5,21652,1646.371779,-0.0009113
09/02/2013 18:20:51,1647.5,1648.5,1645.25,1646,21637,1647.416151,0.001062054
09/02/2013 23:27:39,1646,1648.25,1645.25,1647.75,21640,1647.046488,-0.000455373
09/03/2013 2:11:45,1647.75,1649,1646.25,1647,21632,1647.825132,0.000606796
09/03/2013 3:06:40,1647,1648.5,1646.5,1648,21636,1647.547525,-0.002585551
09/03/2013 3:54:26,1648,1648.5,1643.5,1643.75,21648,1646.490022,-0.000304275
09/03/2013 4:00:01,1643.75,1644.5,1642.5,1643.25,21681,1643.311909,0.000304183
09/03/2013 4:09:58,1643.25,1646.75,1642.25,1643.75,21662,1644.300849,0.000152068
09/03/2013 4:48:46,1643.75,1645.5,1642.25,1644,21707,1643.97958,0.000759763
09/03/2013 6:05:34,1644,1647,1642.75,1645.25,21664,1645.278284,-0.000760341
09/03/2013 6:53:54,1645.25,1647,1642.5,1644,21516,1644.509807,0.001063345
09/03/2013 7:37:18,1644,1646.25,1643.5,1645.75,21827,1644.697725,0.000151883
09/03/2013 8:16:15,1645.75,1647,1645.5,1646,21656,1646.230283,0.000607165
09/03/2013 8:30:05,1646,1647,1645.5,1647,21524,1646.275797,0.00106141
09/03/2013 8:31:19,1647,1648.75,1646.25,1648.75,21758,1647.639317,-0.000606888
09/03/2013 8:32:05,1648.75,1649.25,1647.75,1647.75,21613,1648.454102,0.000758035
09/03/2013 8:33:54,1647.75,1649,1647.5,1649,21635,1648.51174,0.000303122
09/03/2013 8:35:18,1649,1649.5,1647.75,1649.5,21616,1648.689512,-0.00045489
09/03/2013 8:37:17,1649.5,1650,1648.5,1648.75,21613,1649.286263,0.000454683
09/03/2013 8:40:20,1648.75,1649.75,1648.25,1649.5,21621,1648.831842,-0.00075838
09/03/2013 8:43:13,1649.5,1649.75,1647.5,1648.25,21609,1648.409702,-0.000607072
09/03/2013 8:47:08,1648.25,1648.5,1647.25,1647.25,21640,1647.781989,0.000151745
09/03/2013 8:51:22,1647.25,1648,1646.75,1647.5,21643,1647.371956,0
09/03/2013 8:55:37,1647.5,1647.75,1646.25,1647.5,21644,1646.877691,-0.001063345
09/03/2013 9:01:00,1647.5,1648,1645.5,1645.75,21642,1646.934098,-0.000303905
09/03/2013 9:02:50,1645.75,1646.25,1644.25,1645.25,21663,1645.292561,0.001214145
09/03/2013 9:06:22,1645.25,1647.25,1645,1647.25,21580,1646.273089,0
09/03/2013 9:10:25,1647.25,1647.5,1645.5,1647.25,21720,1646.614537,0.000606704
09/03/2013 9:13:22,1647.25,1648.75,1647,1648.25,21629,1647.803551,-0.001519064
09/03/2013 9:17:18,1648.25,1648.5,1645.5,1645.75,21644,1647.059428,-0.000760109
09/03/2013 9:21:27,1645.75,1646.25,1644,1644.5,21664,1645.198567,0.000303951
09/03/2013 9:26:00,1644.5,1645.25,1643.75,1645,21655,1644.496583,0
09/03/2013 9:30:32,1645,1645.75,1644.5,1645,21688,1645.123179,0.000607533
09/03/2013 9:37:01,1645,1646.5,1644.75,1646,21533,1645.882622,0.000455443
09/03/2013 9:44:58,1646,1647,1645.75,1646.75,21719,1646.393262,-0.000151837
09/03/2013 9:50:20,1646.75,1647.75,1646.5,1646.5,21685,1647.108658,-0.001063991
09/03/2013 9:57:08,1646.5,1646.5,1644.75,1644.75,21643,1645.764959,0.000455789
09/03/2013 10:01:36,1644.75,1646,1644.5,1645.5,21691,1645.205811,0.000455581
09/03/2013 10:11:50,1645.5,1646.5,1644.75,1646.25,21659,1645.657394,-0.000911993
09/03/2013 10:18:05,1646.25,1646.75,1644,1644.75,21634,1645.380963,-0.001065125
09/03/2013 10:20:24,1644.75,1645.25,1642.5,1643,21672,1643.595088,-0.000761383
