,Date,Adj Close
0,2015-04-01,
1,2015-05-01,42.982582
2,2015-06-01,40.522209000000004
3,2015-07-01,40.678707
4,2015-08-01,40.471676
5,2015-09-01,38.272602
6,2015-10-01,41.236954
7,2015-11-01,40.498405
8,2015-12-01,41.184525
9,2016-01-01,44.525978
10,2016-02-01,45.759178000000006
11,2016-03-01,48.780926
12,2016-04-01,45.948597
13,2016-05-01,46.397163
14,2016-06-01,50.900143
15,2016-07-01,50.50819
16,2016-08-01,48.182224
17,2016-09-01,47.859962
18,2016-10-01,44.287502
19,2016-11-01,46.468353
20,2016-12-01,49.709026
21,2017-01-01,45.639553
22,2017-02-01,46.710609000000005
23,2017-03-01,45.88237
24,2017-04-01,43.209427000000005
25,2017-05-01,44.419796000000005
26,2017-06-01,42.534046000000004
27,2017-07-01,46.096012
28,2017-08-01,46.285133
29,2017-09-01,47.751743
30,2017-10-01,46.188641
31,2017-11-01,49.691639
32,2017-12-01,51.683605
33,2018-01-01,52.79675699999999
34,2018-02-01,47.146770000000004
35,2018-03-01,47.225777
36,2018-04-01,48.736763
37,2018-05-01,48.619999
